aX,aY,aZ,gX,gY,gZ
0.199,-0.159,0.969,-20.996,-30.396,-6.104
0.115,-0.114,0.805,-35.583,-35.461,-1.343
-0.031,-0.075,0.698,-37.415,-35.156,4.639
-0.108,-0.054,0.684,-27.588,-25.269,7.202
-0.117,-0.051,0.747,-10.620,-13.000,7.385
-0.124,-0.085,0.962,9.460,-6.104,6.775
-0.047,-0.152,1.198,22.339,-5.249,5.188
-0.010,-0.216,1.327,17.456,-5.737,4.456
-0.013,-0.259,1.383,-2.930,-3.601,3.296
0.061,-0.261,1.293,-34.607,-3.296,0.366
0.097,-0.220,1.153,-67.261,-6.897,-1.221
0.068,-0.155,1.054,-89.355,-15.686,-1.343
-0.006,-0.087,1.018,-95.825,-25.879,-2.014
-0.051,-0.010,1.050,-85.022,-32.837,-3.723
-0.088,0.032,1.156,-59.875,-38.025,-6.653
-0.115,0.059,1.287,-30.762,-42.236,-9.094
-0.105,0.029,1.434,-7.324,-39.856,-9.155
-0.029,-0.001,1.503,2.197,-32.715,-7.080
0.010,-0.037,1.534,-2.808,-27.344,-3.296
0.014,-0.049,1.570,-16.663,-25.269,-0.671
0.002,0.006,1.595,-27.893,-24.719,0.549
-0.004,0.042,1.632,-26.611,-25.818,0.000
0.003,0.060,1.682,-14.771,-26.367,-1.709
0.056,0.051,1.705,0.183,-26.184,-4.150
0.076,0.038,1.686,12.268,-25.879,-4.944
0.081,0.016,1.663,19.104,-22.949,-2.258
0.070,-0.006,1.666,21.118,-19.409,0.061
0.068,-0.032,1.667,17.517,-22.522,0.183
0.076,-0.034,1.675,11.658,-27.710,-0.610
0.048,-0.038,1.693,6.226,-33.142,-0.977
0.040,-0.043,1.708,1.953,-35.400,-1.709
0.034,-0.036,1.682,-1.587,-32.898,-2.075
0.022,-0.023,1.661,-2.625,-25.574,-1.282
0.015,-0.025,1.641,-1.404,-18.311,-0.427
0.026,-0.031,1.609,0.061,-14.587,0.916
0.029,-0.038,1.582,1.038,-12.390,2.319
0.023,-0.036,1.541,0.488,-11.597,3.906
0.021,-0.024,1.497,-1.770,-10.498,5.554
0.010,-0.014,1.441,-3.967,-9.705,7.874
0.001,-0.009,1.412,-5.127,-9.521,10.254
-0.011,-0.003,1.424,-4.944,-9.827,11.658
-0.036,-0.001,1.455,-1.770,-9.705,12.939
-0.033,-0.021,1.513,3.662,-9.338,12.634
-0.019,-0.035,1.544,8.240,-7.874,10.803
0.008,-0.056,1.544,10.620,-4.517,8.667
0.023,-0.063,1.527,8.850,-1.099,6.958
-0.009,-0.061,1.506,3.662,0.244,5.981
-0.032,-0.056,1.470,-3.174,1.282,4.517
-0.043,-0.049,1.444,-10.315,3.967,3.296
-0.074,-0.035,1.423,-16.418,6.165,1.648
-0.078,-0.023,1.392,-21.423,6.592,-0.793
-0.075,-0.006,1.373,-23.987,9.827,-2.563
-0.098,0.014,1.364,-22.095,17.029,-2.686
-0.115,0.013,1.373,-15.747,24.780,-2.075
-0.108,0.018,1.373,-6.470,28.259,-1.465
-0.064,-0.011,1.322,3.723,29.236,-0.916
-0.032,-0.033,1.250,9.216,29.419,-0.244
-0.037,-0.050,1.175,6.531,26.611,-0.183
-0.049,-0.043,1.087,-1.038,22.827,-1.892
-0.023,-0.043,1.041,-8.667,23.315,-4.456
-0.008,-0.047,1.011,-14.465,24.841,-6.409
-0.017,-0.025,0.997,-17.456,24.048,-7.629
-0.057,-0.001,0.994,-16.785,24.963,-7.690
-0.079,0.016,0.992,-12.634,30.640,-6.836
-0.108,0.037,1.001,-6.042,38.391,-5.737
-0.128,0.034,1.014,2.441,45.044,-3.906
-0.097,0.013,1.008,11.414,50.354,-2.441
-0.028,-0.017,0.981,17.456,54.443,-1.465
0.052,-0.046,0.928,16.968,54.565,-1.648
0.102,-0.049,0.914,9.827,48.096,-3.174
0.086,-0.036,0.917,1.709,36.499,-4.944
0.083,-0.025,0.897,-4.028,25.696,-5.981
0.080,-0.013,0.866,-7.202,16.357,-7.019
0.060,0.005,0.824,-7.324,7.446,-8.118
0.022,0.025,0.803,-3.052,2.502,-7.812
-0.036,0.043,0.818,6.104,6.775,-5.920
