aX,aY,aZ,gX,gY,gZ
3.083,1.395,1.942,-0.366,-83.496,73.486
3.570,1.187,2.044,3.601,-83.923,28.931
3.934,1.006,2.116,7.568,-79.712,-18.982
4.000,0.759,2.136,9.705,-69.580,-79.529
3.964,0.638,2.119,10.315,-55.115,-145.996
3.428,0.573,2.037,11.414,-36.377,-207.275
2.785,0.497,1.895,12.085,-12.390,-256.653
2.200,0.447,1.719,13.733,20.630,-287.354
1.757,0.209,1.507,18.066,56.213,-302.002
1.465,-0.203,1.395,19.775,75.378,-309.448
1.156,-0.620,1.441,12.756,74.646,-313.599
0.818,-1.079,1.547,6.775,64.087,-313.843
0.486,-1.443,1.561,11.230,53.833,-307.373
0.114,-1.657,1.316,25.085,49.622,-292.542
-0.289,-1.832,0.817,41.016,48.096,-273.926
-0.722,-1.951,0.320,42.908,46.936,-254.578
-1.014,-2.029,0.011,20.752,71.533,-232.727
-1.172,-2.010,0.068,-21.179,126.282,-205.750
-1.272,-1.895,0.501,-65.063,176.697,-178.284
-1.346,-1.689,1.034,-85.632,189.087,-148.132
-1.443,-1.520,1.577,-71.899,136.902,-116.943
-1.575,-1.406,1.868,-34.668,33.081,-93.811
-1.911,-1.321,1.558,15.930,-74.463,-76.538
-2.449,-1.261,0.970,58.655,-145.752,-61.279
-2.949,-1.133,0.449,63.110,-148.865,-40.405
-3.306,-0.850,0.325,37.170,-66.162,-18.372
-3.426,-0.511,0.601,-6.897,66.223,4.333
-3.445,-0.217,1.112,-42.664,162.170,32.349
-3.412,0.117,1.621,-45.410,169.312,58.655
-3.552,0.372,1.874,-14.709,95.764,79.895
-3.735,0.670,1.611,33.264,5.127,105.164
-3.746,0.936,1.220,75.256,-52.185,142.517
-3.506,1.245,0.926,86.975,-68.054,182.251
-3.138,1.641,0.628,76.660,-56.091,222.046
-2.663,2.027,0.353,64.514,-36.804,260.193
-2.128,2.342,0.161,48.828,-25.146,293.335
-1.558,2.617,0.110,24.048,-23.132,315.918
-1.080,2.770,0.268,-3.906,-25.574,323.853
-0.534,2.913,0.490,-24.658,-29.358,324.768
0.370,2.919,0.689,-7.935,-75.623,304.626
0.499,2.815,0.503,7.812,-112.915,280.334
0.485,2.655,0.316,10.498,-128.235,255.615
0.500,2.520,0.312,-6.958,-116.821,231.873
0.575,2.427,0.495,-35.950,-82.886,209.595
0.694,2.341,0.822,-62.561,-42.969,190.491
0.850,2.236,1.140,-76.782,-19.287,174.133
1.178,2.120,1.439,-72.266,-11.658,163.757
1.652,2.003,1.749,-53.406,-20.569,153.748
2.077,1.888,1.926,-36.621,-54.260,132.568
2.473,1.764,2.006,-18.616,-88.867,103.149
2.764,1.592,2.085,2.808,-108.032,70.435
2.968,1.483,2.131,15.259,-119.934,28.015
3.014,1.389,2.126,20.020,-124.207,-20.752
2.920,1.304,2.073,25.940,-117.310,-69.336
2.672,1.218,1.997,31.189,-96.985,-114.563
2.378,1.105,1.907,33.752,-62.927,-156.433
2.140,0.955,1.801,35.645,-25.391,-192.566
1.906,0.733,1.635,37.231,3.174,-223.999
1.691,0.434,1.509,37.415,30.701,-251.221
1.470,0.060,1.465,35.400,55.481,-271.851
1.195,-0.284,1.521,32.349,71.838,-285.645
0.886,-0.569,1.577,33.936,80.933,-290.039
0.541,-0.795,1.490,45.410,81.848,-288.696
0.180,-1.046,1.280,61.401,68.970,-282.471
-0.139,-1.338,1.008,70.618,42.664,-272.766
-0.448,-1.610,0.671,64.758,16.113,-262.939
-0.578,-1.785,0.356,44.556,11.780,-252.747
-0.693,-1.885,0.323,10.742,36.255,-242.737
-0.936,-1.866,0.553,-32.898,82.275,-239.502
-1.300,-1.752,0.943,-67.078,149.780,-239.319
-1.767,-1.569,1.546,-74.402,206.726,-225.830
-2.222,-1.334,2.045,-52.124,175.964,-193.726
-2.639,-1.222,2.003,3.662,65.735,-144.592
-2.735,-1.199,1.546,82.947,-26.001,-84.595
-2.691,-1.041,0.852,133.179,-79.102,-31.799
-2.931,-0.908,0.231,134.155,-90.637,-7.202
-3.104,-0.788,0.171,90.515,-36.072,1.770
-3.211,-0.431,0.574,22.217,49.500,8.301
-3.373,-0.059,1.067,-17.273,119.080,26.367
-3.444,0.317,1.348,-4.333,152.283,56.519
-3.382,0.609,1.366,32.410,128.296,94.360
-3.260,0.950,1.142,63.721,58.655,130.127
-3.007,1.297,0.802,83.374,-12.085,164.978
-2.656,1.654,0.509,85.449,-52.124,198.853
-2.099,2.040,0.237,70.923,-53.467,229.980
-1.492,2.302,0.099,46.387,-34.912,253.723
-0.993,2.470,0.241,15.625,-17.029,264.587
-0.569,2.599,0.489,-12.024,-14.343,265.686
-0.181,2.714,0.627,-18.921,-28.625,264.221
0.183,2.752,0.649,-5.432,-54.443,260.925
0.456,2.721,0.603,7.080,-84.167,247.314
0.527,2.640,0.595,3.723,-105.896,222.290
0.425,2.480,0.665,-12.329,-114.380,191.101
0.297,2.299,0.705,-29.480,-109.741,166.748
0.355,2.116,0.738,-35.400,-94.177,153.381
0.547,1.942,0.816,-35.339,-77.393,144.226
0.712,1.724,0.897,-36.560,-74.585,132.996
0.852,1.559,1.017,-40.588,-83.313,120.483
1.139,1.401,1.330,-47.852,-86.548,110.413
1.538,1.239,1.657,-51.025,-88.867,99.426
2.015,1.150,1.882,-42.664,-96.619,81.177
2.488,0.995,2.048,-27.649,-100.708,54.688
2.769,0.806,2.179,-15.625,-104.614,15.625
2.810,0.679,2.240,-6.287,-103.699,-31.433
2.664,0.585,2.248,4.089,-92.041,-78.003
2.399,0.504,2.229,12.329,-74.158,-120.850
2.104,0.404,2.153,16.846,-54.932,-156.860
1.850,0.289,2.008,22.400,-34.485,-180.420
1.735,0.060,1.870,30.701,-5.249,-192.200
1.709,-0.074,1.756,35.217,25.146,-200.562
1.636,-0.274,1.669,35.156,44.922,-207.886
1.567,-0.524,1.642,34.424,54.138,-218.140
1.324,-0.715,1.613,35.400,52.307,-233.337
0.905,-0.932,1.587,39.307,48.828,-246.216
0.474,-1.098,1.516,45.959,51.331,-248.657
0.052,-1.206,1.264,57.251,54.077,-243.896
-0.369,-1.312,0.891,68.848,55.481,-232.605
-0.610,-1.467,0.537,67.871,64.575,-210.571
-0.635,-1.513,0.280,49.072,86.548,-183.472
-0.521,-1.513,0.195,15.686,109.863,-159.851
-0.492,-1.475,0.248,-20.874,118.652,-145.935
-0.733,-1.419,0.517,-46.570,112.488,-138.916
-1.090,-1.371,0.879,-56.580,99.426,-132.019
-1.444,-1.282,1.255,-47.058,75.745,-122.253
-1.887,-1.268,1.351,-19.958,28.564,-113.159
-2.357,-1.209,1.080,15.137,-19.714,-99.121
-2.536,-1.092,0.642,40.283,-36.194,-73.364
-2.558,-0.938,0.384,40.588,-23.437,-40.894
-2.604,-0.742,0.403,16.052,5.249,-12.268
-2.659,-0.484,0.621,-14.099,44.617,12.085
-2.667,-0.263,0.971,-27.527,74.158,32.593
-2.754,-0.025,1.243,-19.287,71.289,46.021
-3.029,0.211,1.356,5.432,34.790,54.871
-3.397,0.436,1.326,38.208,-13.367,62.073
-3.607,0.642,1.237,59.937,-52.124,81.970
-3.530,0.926,1.016,66.772,-76.233,119.934
-3.172,1.277,0.668,76.477,-83.435,170.105
-2.608,1.618,0.300,85.693,-74.341,219.604
-1.978,1.921,0.040,73.059,-55.115,256.165
-1.396,2.159,0.002,34.912,-28.137,275.024
-0.999,2.279,0.203,-12.512,0.793,276.917
-0.656,2.403,0.513,-50.781,23.193,269.897
-0.252,2.564,0.741,-61.279,31.067,260.193
0.054,2.626,0.805,-45.227,18.066,245.422
0.156,2.589,0.811,-23.804,-14.282,223.328
0.212,2.505,0.805,-16.113,-52.185,201.233
0.321,2.385,0.795,-20.325,-84.473,187.805
0.489,2.281,0.858,-25.452,-100.891,180.359
0.804,2.168,1.042,-32.043,-101.196,176.575
1.266,2.092,1.220,-40.588,-94.543,168.640
1.609,1.962,1.328,-41.748,-97.778,147.766
1.777,1.793,1.521,-38.879,-113.708,116.028
1.916,1.642,1.714,-38.818,-124.084,78.491
2.036,1.477,1.884,-37.842,-113.403,42.419
2.143,1.295,2.071,-32.959,-83.618,9.521
2.207,1.074,2.217,-25.452,-52.063,-19.348
2.287,0.877,2.301,-14.465,-32.410,-44.189
2.362,0.692,2.309,0.427,-24.048,-65.186
2.235,0.474,2.267,28.198,-18.005,-114.502
2.111,0.373,2.218,36.621,-10.742,-144.958
1.906,0.219,2.089,46.936,3.418,-176.086
1.619,-0.138,1.956,55.054,16.052,-201.233
1.372,-0.505,1.847,57.800,21.240,-219.421
1.097,-0.796,1.701,65.796,24.048,-230.408
0.734,-1.047,1.498,86.060,25.940,-233.643
0.320,-1.193,1.121,107.300,24.048,-229.065
-0.124,-1.340,0.729,119.080,26.123,-219.116
-0.514,-1.482,0.508,112.427,40.649,-208.496
-0.671,-1.494,0.418,88.562,70.435,-190.430
-0.616,-1.447,0.467,64.392,107.605,-167.664
-0.513,-1.420,0.512,46.692,132.141,-149.536
-0.561,-1.370,0.398,34.058,130.981,-134.338
-0.750,-1.329,0.445,24.231,116.333,-119.751
-1.006,-1.252,0.680,15.442,88.379,-105.835
-1.271,-1.165,0.750,16.113,43.945,-91.248
-1.536,-1.124,0.615,31.067,3.479,-75.928
-1.808,-1.088,0.364,39.917,-21.301,-62.683
-2.058,-1.021,0.135,27.893,-26.001,-48.096
-2.202,-0.899,0.116,3.540,-1.404,-28.687
-2.213,-0.729,0.289,-24.170,46.570,-5.615
-2.154,-0.469,0.413,-38.391,98.328,22.095
-2.078,-0.247,0.623,-34.424,126.648,50.964
-2.012,-0.041,0.908,-27.344,106.445,62.378
-2.191,0.168,1.036,-16.846,43.213,53.467
-2.562,0.278,1.015,1.221,-20.752,40.283
-2.935,0.436,0.976,11.780,-55.176,40.283
-3.144,0.669,0.971,8.667,-55.969,59.265
-3.089,0.889,0.960,2.991,-37.842,95.947
-2.784,1.088,0.862,3.906,-20.447,142.273
-2.391,1.300,0.635,8.484,-12.695,185.608
-2.015,1.507,0.394,8.423,-13.550,217.957
-1.727,1.671,0.288,0.793,-16.907,238.708
-1.432,1.844,0.312,-17.700,-15.991,250.732
-1.079,2.013,0.440,-40.466,-9.094,258.911
-0.715,2.183,0.606,-56.641,-4.333,259.338
-0.415,2.283,0.807,-61.890,-5.432,252.930
-0.152,2.296,0.897,-59.753,-9.766,240.601
0.135,2.302,0.870,-52.307,-13.733,226.685
0.469,2.215,0.915,-48.218,-22.400,211.060
0.789,2.141,1.158,-56.702,-39.978,193.542
1.040,2.104,1.472,-60.974,-65.613,179.321
1.394,2.020,1.465,-43.152,-92.346,167.664
1.718,1.906,1.304,-12.390,-113.342,150.024
1.859,1.693,1.261,-0.549,-124.084,119.934
1.839,1.528,1.375,-14.282,-120.972,79.529
1.865,1.424,1.577,-29.663,-98.450,40.649
2.042,1.343,1.809,-26.917,-58.289,14.343
2.347,1.215,1.986,-14.526,-21.790,-5.676
2.570,1.129,2.022,0.183,-11.902,-29.663
2.706,0.990,1.991,21.240,-20.752,-58.105
2.843,0.859,1.897,41.443,-32.043,-90.515
2.873,0.761,1.812,53.162,-32.776,-126.160
2.688,0.698,1.764,54.077,-17.822,-168.518
2.335,0.596,1.732,44.373,4.272,-211.975
1.980,0.259,1.685,30.945,30.212,-244.446
1.754,-0.161,1.648,22.888,51.025,-265.991
1.325,-0.638,1.646,23.071,55.725,-284.912
0.738,-1.095,1.617,28.198,44.373,-303.223
0.006,-1.441,1.405,41.687,31.128,-312.927
-0.689,-1.669,1.043,60.547,33.813,-307.312
-1.194,-1.903,0.806,63.599,52.185,-288.208
-1.416,-1.973,0.810,44.373,68.848,-258.484
-1.406,-1.941,0.784,25.757,72.937,-224.121
-1.397,-1.936,0.662,22.156,68.237,-189.514
-1.545,-1.924,0.495,19.653,75.439,-162.781
-1.974,-1.883,0.633,3.967,98.633,-138.550
-2.359,-1.763,1.035,-18.005,114.929,-114.563
-2.649,-1.529,1.338,-22.522,100.708,-81.543
-2.840,-1.333,1.383,-0.854,62.744,-44.434
-2.897,-1.148,1.352,26.611,27.039,-16.479
-2.798,-0.871,1.240,37.231,7.874,7.935
-2.615,-0.575,1.070,46.265,4.089,37.903
-2.401,-0.280,0.872,58.716,9.338,64.392
-2.290,-0.021,0.647,65.674,14.282,82.581
-2.264,0.296,0.417,64.514,16.113,95.642
-2.307,0.617,0.222,58.472,17.151,107.056
-2.437,0.982,0.179,46.509,17.029,117.371
-2.634,1.320,0.291,28.076,11.719,127.197
-2.686,1.608,0.392,11.780,-1.404,143.982
-2.553,1.863,0.349,10.620,-20.996,167.786
-2.233,2.104,0.144,15.320,-44.006,196.472
-1.829,2.379,-0.094,7.568,-64.575,223.022
-1.592,2.561,-0.021,-18.738,-75.195,236.328
-1.248,2.795,0.300,-56.580,-60.181,242.737
-0.845,2.986,0.654,-77.026,-33.203,248.718
-0.549,2.984,0.951,-71.167,-20.508,244.263
-0.386,2.910,1.010,-60.242,-30.884,232.422
-0.249,2.838,1.068,-51.697,-49.622,221.191
-0.050,2.696,1.102,-46.875,-61.646,213.318
0.117,2.560,1.347,-48.706,-67.627,209.412
0.484,2.408,1.600,-55.481,-75.317,207.275
1.086,2.263,1.688,-48.767,-80.322,205.750
1.821,2.096,1.788,-29.358,-79.956,200.439
2.576,1.955,2.027,-21.606,-88.013,177.979
3.231,1.827,2.272,-21.423,-103.394,133.362
3.681,1.677,2.377,-11.719,-104.614,73.608
3.819,1.508,2.456,1.831,-86.182,6.165
3.750,1.307,2.478,6.104,-60.974,-59.631
3.714,1.106,2.485,8.179,-19.226,-113.281
3.670,0.841,2.450,16.479,30.212,-155.396
3.604,0.512,2.321,24.475,60.913,-203.796
3.466,0.044,2.241,27.222,71.716,-249.817
2.983,-0.256,2.110,27.405,69.458,-295.349
2.202,-0.464,1.821,32.532,67.871,-328.918
1.358,-0.733,1.569,45.044,72.571,-342.285
0.548,-1.004,1.319,53.589,72.754,-338.806
-0.034,-1.336,0.975,64.331,72.083,-320.984
-0.358,-1.707,0.483,75.562,73.914,-295.898
-0.696,-1.956,0.171,63.416,80.078,-270.447
-0.940,-2.050,0.051,26.917,105.774,-244.080
-1.101,-2.054,0.413,-14.709,140.198,-220.093
-1.225,-1.934,0.802,-46.692,155.945,-208.069
-1.524,-1.704,0.992,-46.936,149.109,-187.683
-1.860,-1.557,1.058,-18.982,108.765,-159.302
