aX,aY,aZ,gX,gY,gZ
-0.898,0.504,-2.327,-176.697,-125.305,-22.949
-1.104,0.567,-2.100,-193.359,-155.457,-14.282
-1.258,0.700,-1.929,-200.684,-195.740,-5.920
-1.335,0.873,-1.894,-202.637,-242.432,-2.563
-1.576,1.083,-1.941,-212.830,-274.902,-5.371
-1.829,1.318,-1.872,-243.225,-270.752,-6.592
-2.072,1.540,-1.441,-292.236,-237.793,-2.136
-2.291,1.732,-0.478,-351.624,-196.289,8.850
-2.285,1.894,0.924,-399.902,-174.194,28.015
-1.846,1.972,2.398,-415.161,-178.833,52.307
-1.326,1.962,3.454,-388.245,-200.256,65.857
-0.885,1.846,3.997,-335.205,-230.591,59.937
-0.872,1.686,4.000,-288.818,-252.502,38.757
-1.069,1.571,4.000,-259.705,-245.300,20.447
-0.907,1.551,4.000,-239.685,-208.008,26.794
-0.489,1.498,4.000,-221.008,-155.396,45.471
0.208,1.320,4.000,-154.602,-84.290,63.171
0.594,1.256,4.000,-121.033,-58.044,68.970
1.052,1.192,4.000,-89.294,-27.466,72.510
1.565,1.141,4.000,-53.772,5.005,70.862
1.903,1.105,4.000,-15.747,28.015,56.091
1.983,1.049,4.000,21.912,39.429,28.748
1.868,0.999,4.000,59.265,51.331,0.488
1.675,0.981,4.000,96.252,65.857,-22.888
1.322,0.980,4.000,129.761,77.881,-47.668
0.876,0.959,4.000,160.278,87.219,-72.327
0.411,0.934,4.000,183.716,94.177,-90.149
-0.021,0.935,3.926,204.041,101.685,-103.027
-0.429,0.915,3.620,217.041,107.056,-110.840
-0.759,0.916,3.271,233.093,116.943,-108.459
-1.079,0.941,2.879,246.277,143.005,-104.248
-1.346,0.978,2.547,256.165,179.504,-98.572
-1.558,1.009,2.207,269.897,208.679,-86.121
-1.669,1.032,1.852,289.490,221.313,-70.251
-1.724,1.075,1.384,307.983,217.163,-57.800
-1.842,1.070,0.773,319.153,197.449,-53.223
-1.889,1.035,0.195,316.284,172.180,-51.392
-1.893,1.012,-0.323,301.758,148.743,-44.922
-1.760,0.971,-0.701,286.194,139.160,-25.879
-1.556,0.933,-0.964,270.081,137.817,1.282
-1.255,0.933,-1.158,257.507,139.343,25.696
-0.932,0.973,-1.361,246.643,140.869,40.405
-0.623,1.042,-1.601,237.976,141.907,49.072
-0.416,1.048,-1.883,231.079,136.658,50.415
-0.346,1.006,-2.234,223.572,126.099,43.457
-0.333,0.962,-2.741,213.318,113.342,33.569
